seal_id,group_id,date_,day_of_yr,year,ET_ID,ET_X,ET_Y,site,PupClass
3657,295,06-22-2004,174,2004,3656,796456.0121,1197480.086,DB,y
3658,295,06-22-2004,174,2004,3657,796456.2739,1197480.684,DB,y
3659,296,06-22-2004,174,2004,3658,796394.4382,1197681.762,DB,n
3660,300,06-22-2004,174,2004,3659,796482.8685,1199095.619,DB,n
3661,319,06-22-2004,174,2004,3660,796352.1992,1189501.761,DB,y
3662,319,06-22-2004,174,2004,3661,796351.595,1189501.302,DB,y
3663,332,06-22-2004,174,2004,3662,796553.5881,1194364.438,DB,n
3664,333,06-22-2004,174,2004,3663,796647.7623,1194378.297,DB,y
3665,334,06-22-2004,174,2004,3664,796553.6783,1194399.989,DB,n
3666,334,06-22-2004,174,2004,3665,796554.2585,1194399.449,DB,y
3667,334,06-22-2004,174,2004,3666,796555.1348,1194398.767,DB,n
3668,336,06-22-2004,174,2004,3667,796596.6631,1194412.545,DB,n
3669,336,06-22-2004,174,2004,3668,796596.1791,1194411.537,DB,n
3670,336,06-22-2004,174,2004,3669,796596.5654,1194411.409,DB,y
3671,337,06-22-2004,174,2004,3670,796591.7338,1194568.127,DB,n
3672,337,06-22-2004,174,2004,3671,796590.9401,1194567.702,DB,y
3673,338,06-22-2004,174,2004,3672,796645.7493,1194570.923,DB,n
3674,339,06-22-2004,174,2004,3673,796668.2986,1194595.638,DB,n
3675,339,06-22-2004,174,2004,3674,796668.7352,1194595.297,DB,y
3676,340,06-22-2004,174,2004,3675,796622.8875,1194589.511,DB,n
3677,340,06-22-2004,174,2004,3676,796625.0465,1194589.528,DB,n
3678,341,06-22-2004,174,2004,3677,796599.7287,1194624.085,DB,n
3679,341,06-22-2004,174,2004,3678,796599.4777,1194623.585,DB,y
3680,342,06-22-2004,174,2004,3679,796644.2048,1194707.95,DB,n
3681,343,06-22-2004,174,2004,3680,796606.2179,1194906.554,DB,n
3682,344,06-22-2004,174,2004,3681,796614.5096,1194912.713,DB,y
3683,346,06-22-2004,174,2004,3682,796687.3932,1194938.76,DB,y
3684,347,06-22-2004,174,2004,3683,796649.5833,1194952.885,DB,n
3685,347,06-22-2004,174,2004,3684,796648.7957,1194952.63,DB,y
3686,348,06-22-2004,174,2004,3685,796637.3645,1194959.764,DB,n
